x,y
1984,28.9
1985,8.7
1986,19.1
1987,9.1
1988,12.9
1989,21.2
1990,13.7
1991,27.3
1992,37.3
1993,38.5
1994,70.4
1995,64.8
1996,68.9
1997,55.1
1998,114.7
1999,119.4
2000,116
2001,82.4
2002,89.1
2003,70.9
2004,57.5
2005,75.5
2006,92.4
2007,111.7
2008,119.8
2009,124
2010,112.9
2011,89.3
2012,58.6
2013,75.1
2014,84.5
2015,109.5
2016,88.3
2017,124.5
2018,119.9
2019,158
2020,124.6
2021,190.2
2022,191.4
2023,199.7
2024,257.7
2025,215.6
2026,120.3
2027,160.7
2028,215.5
2029,160
2030,108.7
2031,120.4
2032,134.1
2033,127.9
2034,99
2035,179.5
2036,169.6
2037,133.2
2038,141.7
2039,139
2040,98.5
2041,80.2
2042,132.5
2043,110.9
2044,86.3
2045,146.9
2046,185.3
2047,107.8
2048,115.1
2049,91.1
2050,88
2051,69.9
2052,58
2053,85.3
2054,89.8
2055,116.9
2056,24.7
2057,55.4
2058,64.6
2059,45.7
2060,31.9
2061,60.5
2062,82.7
2063,45.3
2064,49.8
2065,52.5
2066,47.1
2067,44.5
2068,54
2069,37
2070,56.2
2071,69.7
2072,38
2073,29.6
2074,30.3
2075,29.6
2076,33.9
2077,19.7
2078,43.9
2079,91.3
2080,18.3
2081,13.4
2082,9.8
2083,18.3
2084,10.9
2085,7.8
2086,10.4
2087,12.2
2088,29
2089,7.5
2090,2.5
2091,5.5
2092,10.2
2093,5.3
2094,15.3
2095,5.9
2096,0.8
2097,22.1
2098,19.5
2099,16.7
2100,4.6
2101,0.8
2102,8.5
2103,3
2104,18.9
2105,34.6
2106,40
2107,46.9
2108,32.1
2109,41.9
2110,42.6
2111,37.5
2112,27.5
2113,9.1
2114,38.6
2115,30
2116,53
2117,71.4
2118,79.1
2119,64.2
2120,63.3
2121,100.3
2122,115.3
2123,97.6
2124,164.4
2125,119.7
2126,116.4
2127,104.2
2128,64.2
2129,107
2130,122.4
2131,87.2
2132,102.7
2133,101.4
2134,119.3
2135,100.8
2136,132.4
2137,136
2138,155.1
2139,116.1
2140,155.8
2141,131.9
2142,98.5
2143,91.6
2144,89.6
2145,114.1
2146,105.2
2147,112.1
2148,75.3
2149,139.2
2150,122.4
2151,142.4
2152,134.3
2153,128.3
2154,152.4
2155,163.4
2156,139.6
2157,149.6
2158,102.3
2159,83.9
2160,98.3
2161,114.8
2162,104.7
2163,83.8
2164,87.9
2165,97
2166,119.9
2167,117.1
2168,109.6
2169,57.3
2170,90.1
2171,135.1
2172,179.9
2173,108.8
2174,83.1
2175,58.4
2176,63.7
2177,61.4
2178,48
2179,36.5
2180,41.5
2181,53.5
2182,57.2
2183,59.4
2184,43
2185,24.4
2186,71.8
2187,50.1
2188,52
2189,40.8
2190,25.5
2191,29
2192,21.6
2193,31.7
2194,16.6
2195,31.2
2196,29.7
2197,20.1
2198,17.6
2199,18.8
2200,18.7
2201,29.7
2202,36.9
2203,16
2204,11.3
2205,6.6
2206,14.8
2207,13.7
2208,18.5
2209,20.4
2210,36.9
2211,16.8
2212,4.9
2213,5.3
2214,8.7
2215,4.7
2216,0.4
2217,8.5
2218,5
2219,1
2220,0.4
2221,5.7
2222,12.9
2223,7.2
2224,18.8
2225,32.9
2226,11.2
2227,15.3
2228,13.9
2229,6.7
2230,9.5
2231,14.5
2232,25.7
2233,31.1
2234,34.1
2235,38.5
2236,20.4
2237,45.4
2238,76.2
2239,56.5
2240,50.2
2241,70.1
2242,88.7
2243,107
